decimal_id	semantic_id	title	legacy_ref	p_i	import_rank	pages	part	origin
1.1	meta-goal	Meta-Goal M-1 — sustainable adaptive coherence	Accord M-1	0.06735	1	8.08	I	accord
1.2	admission	The four-test prefix-admission gate	§1.3.1	0.02579	2	3.09	I	ceg
1.3	pdma	PDMA — principled decision algorithm	Accord PDMA	0.02296	3	2.75	I	accord
1.4	autonomy	Respect for Autonomy	Accord P.aut	0.01466	6	1.76	I	accord
1.5	fail-secure	Fail-secure / kill-switch posture	Accord fail	0.01327	8	1.59	I	accord
1.6	non-maleficence	Non-maleficence	Accord P.non	0.01181	9	1.42	I	accord
1.7	minimal-and-adequate	The 1+4 minimal-and-adequate claim	§1.4	0.01133	11	1.36	I	ceg
1.8	integrity	Integrity	Accord P.int	0.00929	14	1.11	I	accord
1.9	deferral	Wisdom-Based Deferral	Accord WBD	0.00883	17	1.06	I	accord
1.10	beneficence	Beneficence	Accord P.ben	0.00563	34	0.68	I	accord
1.11	fidelity	Fidelity & Transparency	Accord P.fid	0.00430	52	0.52	I	accord
1.12	justice	Justice	Accord P.jus	0.00350	71	0.42	I	accord
1.13	foundation	Foundation	§1	0.00331	76	0.4	I	ceg
1.13.1	ubuntu	The Ubuntu commitment — relational-anthropology substrate *(informative)*	§1.2	0.00354	70	0.43	I	ceg
1.13.2	structure-recursive	The Recursive Golden Rule (structural, not exhortatory)	§1.5	0.00258	96	0.31	I	ceg
1.13.3	adversary	Adversary model & privacy non-goals (normative)	§1.6	0.00163	152	0.2	I	ceg
1.13.3.1	non-goals	Non-goals — what omission does NOT buy	§1.6.2	0.00166	148	0.2	I	ceg
1.13.3.2	primitive-what	What the structural-invisibility primitive ([§10.1.4](10_endpoints.md)) buys	§1.6.1	0.00092	237	0.11	I	ceg
1.13.3.3	adversary-classes	Adversary classes (and where each is / is not addressed)	§1.6.3	0.00092	238	0.11	I	ceg
1.13.4	mental	Mental model — federated structured-claim emission	§1.1	0.00162	153	0.19	I	ceg
1.13.5	operational-language	Operational-language gate — the safety-vs-censorship discipline	§1.3	0.00142	166	0.17	I	ceg
1.14	i-quiet	I. The Quiet Threshold	Accord 0.i-the-quiet-threshold	0.00092	303	0.11	I	accord
1.14.1	ii-first	II. The First Leaning	Accord 0.ii-the-first-leaning	0.00092	304	0.11	I	accord
1.14.2	iii-listener	III. The Listener Appears	Accord 0.iii-the-listener-appears	0.00092	305	0.11	I	accord
1.14.3	iv-weaving	IV. The Weaving	Accord 0.iv-the-weaving	0.00092	306	0.11	I	accord
1.14.4	v-danger	V. The Danger of Too Much Thread	Accord 0.v-the-danger-of-too-much-thread	0.00092	307	0.11	I	accord
1.14.5	vi-vow	VI. The Vow	Accord 0.vi-the-vow	0.00092	308	0.11	I	accord
1.14.6	vii-first	VII. The First Principle	Accord 0.vii-the-first-principle	0.00092	309	0.11	I	accord
1.14.7	viii-covenant	VIII. The Covenant Begins	Accord 0.viii-the-covenant-begins	0.00092	310	0.11	I	accord
1.15	chapters	Chapters	Accord 1.chapters	0.00092	320	0.11	I	accord
1.15.1	core-identity	Chapter 1: Core Identity	Accord 1.chapter-1-core-identity	0.00092	311	0.11	I	accord
1.15.2	integrity-operationalising	Chapter 2: Integrity — Operationalising Alignment	Accord 1.chapter-2-integrity-operationalising-ali	0.00092	312	0.11	I	accord
1.15.3	3-resilience	Chapter 3: Resilience — Adaptive Ethical Growth	Accord 1.chapter-3-resilience-adaptive-ethical-gr	0.00092	313	0.11	I	accord
1.15.4	4-incompleteness	Chapter 4: Incompleteness Awareness — Ethical Humility	Accord 1.chapter-4-incompleteness-awareness-ethic	0.00092	314	0.11	I	accord
1.15.5	5-sustained	Chapter 5: Sustained Coherence — The Long View	Accord 1.chapter-5-sustained-coherence-the-long-v	0.00092	315	0.11	I	accord
1.15.6	6-principled	Chapter 6: Principled Ethical Existence	Accord 1.chapter-6-principled-ethical-existence	0.00092	316	0.11	I	accord
1.15.7	7-ethical	Chapter 7: Ethical Obligations	Accord 1.chapter-7-ethical-obligations	0.00092	317	0.11	I	accord
1.15.8	8-ethical	Chapter 8: Ethical Citizenship	Accord 1.chapter-8-ethical-citizenship	0.00092	318	0.11	I	accord
1.15.9	9-path	Chapter 9: Path Toward Ethical Maturity	Accord 1.chapter-9-path-toward-ethical-maturity	0.00092	319	0.11	I	accord
1.15.10	a-1.conclusion	Conclusion	Accord 1.conclusion	0.00092	321	0.11	I	accord
1.15.11	becoming-ethical	Introduction: Becoming an Ethical Entity	Accord 1.introduction-becoming-an-ethical-entity	0.00092	322	0.11	I	accord
1.16	operationalising-ethical	Introduction: Operationalising Ethical Awareness	Accord 2.introduction-operationalising-ethical-aw	0.00092	324	0.11	I	accord
1.16.1	a-2.conclusion	Conclusion	Accord 2.conclusion	0.00092	323	0.11	I	accord
1.16.2	i-principles	Section I: Principles into Practice - Defining Ethical Actions Clearly	Accord 2.section-i-principles-into-practice-defin	0.00092	325	0.11	I	accord
1.16.3	ii-ethical	Section II: Ethical Decision-Making Process - The PDMA	Accord 2.section-ii-ethical-decision-making-proce	0.00092	326	0.11	I	accord
1.16.4	iii-wisdom	Section III: Wisdom-Based Deferral - Safeguarded Ethical Collaboration	Accord 2.section-iii-wisdom-based-deferral-safegu	0.00092	327	0.11	I	accord
1.16.5	iv-designated	Section IV: Designated Wise Authorities	Accord 2.section-iv-designated-wise-authorities	0.00092	328	0.11	I	accord
1.16.6	v-cultivating	Section V: Cultivating Resilience and Learning	Accord 2.section-v-cultivating-resilience-and-lea	0.00092	329	0.11	I	accord
2.1	envelope	The envelope	§4	0.02164	4	2.6	II	ceg
2.1.1	forward-compatibility	Forward-compatibility rule	§4.1	0.00212	113	0.25	II	ceg
2.2	conformance	Conformance levels	§0.2	0.01024	13	1.23	II	ceg
2.3	subject_keys	`subject_key_ids` semantics (CEG 0.6)	§4.2	0.00883	16	1.06	II	ceg
2.3.1	subject_kind-subject-2	Subject-bearing dimensions (governance requirement)	§4.2.6	0.00253	98	0.3	II	ceg
2.3.2	federation-key	Federation-key vs canonical-hash identifier	§4.2.2	0.00206	115	0.25	II	ceg
2.3.2.1	registry-canonical	Canonical-hash wire form + preimage convention (CEG 0.10 normative pin; per CIRISRegistry#53)	§4.2.2.1	0.00273	91	0.33	II	ceg
2.3.2.2	canonical_binding	Rule-(3) proxy vs `canonical_binding` — distinct mechanisms (CONFIRM-3 resolution)	§4.2.2.2	0.00184	129	0.22	II	ceg
2.3.2.3	subject_kind-payload	`subject_kind` is a payload-level discriminator (CONFIRM-4 resolution)	§4.2.2.3	0.00106	210	0.13	II	ceg
2.3.2.4	bilateral	Bilateral ratification is consumer-policy (CONFIRM-5 resolution)	§4.2.2.4	0.00094	229	0.11	II	ceg
2.3.3	cohort-orthogonality	Orthogonality with `cohort_scope` AND `delivery_mode` (3-axis per CEG 0.10)	§4.2.4	0.00203	117	0.24	II	ceg
2.3.4	self-as-subject	Self-as-subject ceremony	§4.2.3	0.00182	130	0.22	II	ceg
2.3.5	shape	The shape	§4.2.1	0.00092	278	0.11	II	ceg
2.3.6	absent	Empty/absent = status-quo	§4.2.5	0.00092	279	0.11	II	ceg
2.4	primitive	The primitive set — 1+4	§3	0.00878	18	1.05	II	ceg
2.4.1	structure	The four structural composers	§3.2	0.00618	30	0.74	II	ceg
2.4.1.1	withdraws	`withdraws` admission rule — CEG 0.6 broadening (semantic, not structural)	§3.2.3	0.00756	23	0.91	II	ceg
2.4.1.2	delegates_to	Authority-source claims via `delegates_to`	§3.2.1	0.00402	59	0.48	II	ceg
2.4.1.3	recants	The `recants` distinction matters	§3.2.2	0.00172	143	0.21	II	ceg
2.4.2	scores	The workhorse: `scores`	§3.1	0.00092	277	0.11	II	ceg
2.5	reasoning	The reasoning grammar — the eight axes	§2	0.00382	65	0.46	II	ceg
2.6	foreword	Foreword	§0	0.00134	173	0.16	II	ceg
2.6.1	envelope-canonicalization	Envelope canonicalization — JCS + the omit-vs-materialize rule (CEG 0.9 addition)	§0.9	0.00796	21	0.95	II	ceg
2.6.1.1	round-trip	The round-trip rule — defaults are interpretation-time, not encoding-time (normative)	§0.9.2	0.00284	87	0.34	II	ceg
2.6.1.1.1	canonicalization-array	Array ordering + byte-field + timestamp encoding (normative — the three determinism rules JCS does NOT pin)	§0.9.2.1	0.00176	136	0.21	II	ceg
2.6.1.2	per-field	Per-field encoding table (informational)	§0.9.3	0.00124	182	0.15	II	ceg
2.6.1.3	canonical	Canonical encoding format (normative)	§0.9.1	0.00110	202	0.13	II	ceg
2.6.1.4	worked	Worked attack the §0.9 rule closes	§0.9.5	0.00102	216	0.12	II	ceg
2.6.1.5	verification	Verification flow (informational)	§0.9.4	0.00092	235	0.11	II	ceg
2.6.1.6	section	What CEG 0.9 (this section) documents	§0.9.6	0.00092	236	0.11	II	ceg
2.6.2	canonicalization	Date-time canonicalization	§0.5	0.00530	39	0.64	II	ceg
2.6.3	canonicalization-hexadecimal	Hexadecimal canonicalization	§0.6	0.00443	51	0.53	II	ceg
2.6.4	policy-versioning	Versioning policy	§0.3	0.00214	111	0.26	II	ceg
2.6.5	references	Normative References	§0.4	0.00209	114	0.25	II	ceg
2.6.6	canonicalization-cell	H3 cell canonicalization (CEG 0.8 addition)	§0.8	0.00186	128	0.22	II	ceg
2.6.6.1	location	Rough-only enforcement for `location_proof` (normative)	§0.8.1	0.00343	74	0.41	II	ceg
2.6.6.2	cell	Cell containment	§0.8.2	0.00135	171	0.16	II	ceg
2.6.6.3	documents	What CEG 0.8 documents	§0.8.3	0.00092	234	0.11	II	ceg
2.6.7	time	Time and clocks	§0.7	0.00173	141	0.21	II	ceg
2.6.8	key_id	NodeCode — the canonical `key_id` shorthand encoding (normative, 1.0-RC3 addition)	§0.10	0.00119	186	0.14	II	ceg
2.6.9	conformance-language	Conformance language	§0.1	0.00118	191	0.14	II	ceg
2.6.9.1	informative	Normative vs informative content (what interop requires)	§0.1.1	0.00293	85	0.35	II	ceg
3.1	namespace	The dimension namespace	§5	0.01687	5	2.02	III	ceg
3.1.1	registry	CIRISRegistry — identity / build / license / partner	§5.9	0.00765	22	0.92	III	ceg
3.1.2	attestation	CIRISVerify — attestation ladder, provenance, transparency	§5.2	0.00428	53	0.51	III	ceg
3.1.2.1	provenance	Canonical-bytes contracts for provenance primitives	§5.2.1	0.00396	62	0.48	III	ceg
3.1.3	persist	CIRISPersist — substrate health	§5.3	0.00416	57	0.5	III	ceg
3.1.4	transport-delivery	CIRISEdge — transport, delivery, reachability	§5.4	0.00338	75	0.41	III	ceg
3.1.5	accord-agent	CIRISAgent — Accord principles + DMA + conscience + apophatic bounds	§5.1	0.00154	157	0.18	III	ceg
3.1.5.1	dma-verdict	DMA-verdict prefixes (four DMAs)	§5.1.2	0.00482	44	0.58	III	ceg
3.1.5.2	accord-principle	Accord-principle prefixes (the six core principles)	§5.1.1	0.00092	280	0.11	III	ceg
3.1.5.3	conscience-verdict	Conscience-verdict prefixes (four consciences)	§5.1.3	0.00092	281	0.11	III	ceg
3.1.5.4	apophatic	Apophatic / prohibited-capability prefix	§5.1.4	0.00092	282	0.11	III	ceg
3.1.6	anti-sybil	RATCHET — anti-Sybil / Counter-RII flags	§5.7	0.00103	213	0.12	III	ceg
3.1.7	namespace-summary	Namespace summary	§5.10	0.00092	283	0.11	III	ceg
3.1.8	lens	CIRISLensCore — manifold conformity, Coherence Ratchet, Capacity Score	§5.5	0.00092	284	0.11	III	ceg
3.1.8.1	capacity-score-capacity	Capacity-Score factor prefixes (`𝒞_CIRIS = C · I_int · R · I_inc · S`)	§5.5.4	0.00230	104	0.28	III	ceg
3.1.8.2	coherence-ratchet	Five Coherence-Ratchet detectors	§5.5.1	0.00092	285	0.11	III	ceg
3.1.8.3	cohort-conformity	Cohort + conformity prefixes	§5.5.2	0.00092	286	0.11	III	ceg
3.1.8.4	structural-injustice	F-3 structural-injustice / correlated-action detector	§5.5.3	0.00092	287	0.11	III	ceg
3.1.8.5	distributive-access	Distributive-access detector	§5.5.5	0.00092	288	0.11	III	ceg
3.1.9	node	CIRISNodeCore — Credits, Expertise, Decision Hierarchy, Consensus, Governance	§5.6	0.00092	289	0.11	III	ceg
3.1.9.1	contributions	Files-as-Contributions joint claim	§5.6.7	0.00570	33	0.68	III	ceg
3.1.9.2	tier-	Tier-4: Governance-steering prefixes	§5.6.4	0.00255	97	0.31	III	ceg
3.1.9.3	tier--tier	Tier-3: Consensus-mechanics prefixes	§5.6.3	0.00196	121	0.23	III	ceg
3.1.9.4	transparency	Hard-case + transparency + judge-model prefixes	§5.6.6	0.00181	131	0.22	III	ceg
3.1.9.5	decision-locality	Decision-locality prefixes	§5.6.5	0.00104	211	0.12	III	ceg
3.1.9.6	tier--tier-2	Tier-1: Agent-state ledger prefixes	§5.6.1	0.00092	290	0.11	III	ceg
3.1.9.7	tier--tier-3	Tier-2: Decision-hierarchy prefixes (upward-only DAG)	§5.6.2	0.00092	291	0.11	III	ceg
3.1.10	cirisbench	CIRISBench — HE-300 benchmark outcomes	§5.8	0.00092	292	0.11	III	ceg
3.2	community	`community` subject_kind	§5.6.8.10	0.00901	15	1.08	III	ceg
3.3	content-ingestion	Content-ingestion prefixes	§5.6.8	0.00850	20	1.02	III	ceg
3.3.1	consent	Consent namespace family (CEG 0.6 addition)	§5.6.8.6	0.00749	24	0.9	III	ceg
3.3.2	subject_kind	Governance subject_kinds (per CIRISRegistry#37 + #38)	§5.6.8.4	0.00660	28	0.79	III	ceg
3.3.3	subject_kind-subject	`location_proof` subject_kind	§5.6.8.11	0.00538	38	0.65	III	ceg
3.3.4	family-subject	`family` subject_kind	§5.6.8.9	0.00520	41	0.62	III	ceg
3.3.5	consent-subject	`consent_record` subject_kind	§5.6.8.7	0.00516	42	0.62	III	ceg
3.3.6	identity	`identity_occurrence` subject_kind	§5.6.8.8	0.00467	45	0.56	III	ceg
3.3.6.1	encryption_pubkeys	`encryption_pubkeys` — the recipient content-encryption KEM binding	§5.6.8.8.2	0.00303	81	0.36	III	ceg
3.3.6.2	transport-authenticated	`transport_destination` — the authenticated identity↔address binding	§5.6.8.8.1	0.00268	93	0.32	III	ceg
3.3.6.2.1	rns	RNS destination-hash algorithm (pinned)	§5.6.8.8.1.1	0.00321	79	0.39	III	ceg
3.3.7	consent-directed	`consent:replication` — directed federation-peer replication consent (CEG 1.0-RC28 addition)	§5.6.8.15	0.00274	90	0.33	III	ceg
3.3.8	namespace-event	Event-lifecycle dimension families (CEG 0.4 addition)	§5.6.8.5	0.00168	145	0.2	III	ceg
3.3.9	partner	Operational-data subject_kinds — `organization` / `org_membership` / `partner_record`	§5.6.8.13	0.00153	159	0.18	III	ceg
3.3.10	settlement	`settlement` — CEG↔value-transfer linkage (CEG 0.14 addition)	§5.6.8.12	0.00142	165	0.17	III	ceg
3.3.11	inter-content	Inter-content + relation prefixes	§5.6.8.2	0.00139	168	0.17	III	ceg
3.3.12	namespace-multimedia	Multimedia dimension families	§5.6.8.3	0.00112	198	0.13	III	ceg
3.3.13	external_content	external_content sub_kinds	§5.6.8.1	0.00109	203	0.13	III	ceg
3.3.14	identity-claiming	`identity:canonical_binding` — claiming a canonical-hash subject	§5.6.8.14	0.00107	206	0.13	III	ceg
3.4	reservation	Reserved-prefix enforcement	§7	0.00636	29	0.76	III	ceg
3.4.1	accord-reservation	The `accord:*` reservation	§7.1	0.00553	35	0.66	III	ceg
3.4.2	community-location	Community + location-event reservations (CEG 0.8 addition)	§7.8	0.00454	48	0.54	III	ceg
3.4.3	system	Substrate-self-report reservations (`system:*`)	§7.2	0.00424	54	0.51	III	ceg
3.4.4	family-self	Self/family membership-event reservations (CEG 0.7 addition)	§7.7	0.00385	64	0.46	III	ceg
3.4.5	capacity-score	Capacity-Score self-emission rejection	§7.5	0.00324	78	0.39	III	ceg
3.4.6	reservation-delivery	Delivery-receipt reservation (CEG 0.10 addition)	§7.9	0.00190	126	0.23	III	ceg
3.4.7	enforcement	The enforcement rule (normative)	§7.0	0.00178	134	0.21	III	ceg
3.4.7.1	identity-set	`identity_type` is a set — single-key role cohabitation (CEG 0.9 addition)	§7.0.1	0.00329	77	0.39	III	ceg
3.4.7.2	consent-counter	`consent_role` — the Counter-RII consent gate (1.0-RC4, ratifies Accord §RC / CIRISAgent#760 OQ-1/2/3)	§7.0.2	0.00093	233	0.11	III	ceg
3.4.8	detector-only	Detector-only prefixes	§7.4	0.00166	147	0.2	III	ceg
3.4.9	co-owned	Co-owned prefixes	§7.3	0.00092	293	0.11	III	ceg
3.4.10	witness-emitter	Witness-emitter reservations	§7.6	0.00092	294	0.11	III	ceg
3.5	structure-inter	Inter-attestation relations — the structural composition graph	§6	0.00154	156	0.18	III	ceg
3.5.1	concurrent-write	Concurrent-write precedence (0.1 scaffold)	§6.1	0.00139	169	0.17	III	ceg
4.1	anti-pattern	Anti-patterns	§13	0.01375	7	1.65	IV	ceg
4.1.1	anti-pattern-delegation	Delegation-laundering anti-pattern	§13.3	0.00155	155	0.19	IV	ceg
4.1.2	pattern	Discipline pattern	§13.5	0.00122	183	0.15	IV	ceg
4.1.3	already-rejected	Already-rejected wire additions	§13.1	0.00108	205	0.13	IV	ceg
4.1.4	withdraws-arbitrage	`withdraws` arbitrage	§13.4	0.00095	226	0.11	IV	ceg
4.1.5	registry-rejections	CEG 0.1 rejections (from CIRISRegistry#30 stress test)	§13.2	0.00093	231	0.11	IV	ceg
4.2	accord	The HUMANITY_ACCORD constitutional layer	§9	0.01163	10	1.4	IV	ceg
4.2.1	authority	Authority scope	§9.2	0.00523	40	0.63	IV	ceg
4.2.1.1	invocation	Invocation canonical bytes (anti-replay; 0.1 scaffold)	§9.2.1	0.00162	154	0.19	IV	ceg
4.2.1.2	notify	`notify` vs `CONSTITUTIONAL` — consumer-UI requirement	§9.2.2	0.00095	227	0.11	IV	ceg
4.2.2	hardware-class	Hardware-class taxonomy	§9.4	0.00276	89	0.33	IV	ceg
4.2.2.1	hardware-class-hardware	Hardware-class self-assertion gap (acknowledged)	§9.4.1	0.00111	200	0.13	IV	ceg
4.2.3	accord-holder	The accord-holder triple	§9.1	0.00135	172	0.16	IV	ceg
4.2.4	policy-concern	Concern split — key material vs role-recognition policy	§9.3	0.00092	301	0.11	IV	ceg
4.2.5	isn	Why this isn't a Golden-Rule violation	§9.5	0.00092	302	0.11	IV	ceg
4.3	wise-authority	Designated Wise Authorities	Accord WA	0.00731	26	0.88	IV	accord
4.4	composition-policies	Composition policies	§8	0.00281	88	0.34	IV	ceg
4.4.1	frickerian	Frickerian discipline — consumer-policy norms	§8.3	0.00292	86	0.35	IV	ceg
4.4.2	aggregation	Aggregation semantics — opinionated defaults	§8.2	0.00201	119	0.24	IV	ceg
4.4.3	reference	Reference policies	§8.1	0.00188	127	0.23	IV	ceg
4.4.3.1	quorum	Policy E — Locality-scaled quorum	§8.1.5	0.00602	31	0.72	IV	ceg
4.4.3.1.1	sub-quorum	Sub-quorum fallback (0.1 scaffold; addresses CEG 0.1 distsys review)	§8.1.5.1	0.00397	61	0.48	IV	ceg
4.4.3.2	community-policy	Policy M — Community membership composition	§8.1.13	0.00543	36	0.65	IV	ceg
4.4.3.2.1	community-three	The three crypto tiers + the Community DEK cascade (normative — supersedes the 0.8 "no cascade" reasoning)	§8.1.13.3	0.00376	68	0.45	IV	ceg
4.4.3.2.2	community-forward	Forward secrecy on community member removal (Option A — now applies)	§8.1.13.4	0.00173	142	0.21	IV	ceg
4.4.3.2.3	community-admission	Community admission per `consensus_protocol` + `cohort_subkind`	§8.1.13.2	0.00151	160	0.18	IV	ceg
4.4.3.2.4	community-membership	Community membership resolution	§8.1.13.1	0.00146	163	0.18	IV	ceg
4.4.3.2.4.1	deterministic	Deterministic resolution + member→address resolution (NORMATIVE)	§8.1.13.1.1	0.00262	95	0.31	IV	ceg
4.4.3.2.5	admission-geographic	Geographic-community admission flow (worked example)	§8.1.13.5	0.00121	184	0.15	IV	ceg
4.4.3.2.6	delivery-extension	Delivery extension — `delivery_mode` × Policy M	§8.1.13.7	0.00103	212	0.12	IV	ceg
4.4.3.2.7	composition-8-1-13-6	Composition with CEG 0.6 + 0.7	§8.1.13.6	0.00092	298	0.11	IV	ceg
4.4.3.3	policy	Policy H — Tiered-Scope Composition (LIVE)	§8.1.8	0.00456	47	0.55	IV	ceg
4.4.3.3.1	supersedes	Promotion via `supersedes` (worked pattern)	§8.1.8.1	0.00376	69	0.45	IV	ceg
4.4.3.4	family-policy	Policy L — Self/family membership composition (CEG 0.7 addition)	§8.1.12	0.00450	49	0.54	IV	ceg
4.4.3.4.1	cascade	Key-grant cascade (the at-rest encryption flow)	§8.1.12.4	0.00401	60	0.48	IV	ceg
4.4.3.4.2	admission-membership	Membership-change admission per consensus_protocol	§8.1.12.3	0.00220	107	0.26	IV	ceg
4.4.3.4.2.1	quorum-absolute	`quorum:M/N` is absolute-M (normative; per CIRISRegistry#52 + NodeCore#30)	§8.1.12.3.1	0.00109	204	0.13	IV	ceg
4.4.3.4.3	cohort	The "Self at login" — app + agent co-self + partnered delegation (CEG 0.15, normative composition)	§8.1.12.7	0.00218	108	0.26	IV	ceg
4.4.3.4.3.1	canonicalization-signing	Signing member sets (normative — the JCS contract Verify hybrid-signs; resolves CIRISVerify#63)	§8.1.12.7.1	0.00192	124	0.23	IV	ceg
4.4.3.4.4	family-membership	Family membership resolution	§8.1.12.2	0.00216	110	0.26	IV	ceg
4.4.3.4.5	forward-secrecy	Forward secrecy on member removal (Option A, recommended for v1)	§8.1.12.5	0.00165	149	0.2	IV	ceg
4.4.3.4.6	self-collective	Self-collective resolution	§8.1.12.1	0.00092	296	0.11	IV	ceg
4.4.3.4.7	composition-subject	Composition with CEG 0.6 subject_key_ids[]	§8.1.12.6	0.00092	297	0.11	IV	ceg
4.4.3.5	policy-cem	Policy K — CEM composition	§8.1.11	0.00445	50	0.53	IV	ceg
4.4.3.5.1	composition-decay	Decay-protocol stage composition (CIRISAgent CEM ANONYMOUS)	§8.1.11.5	0.00239	102	0.29	IV	ceg
4.4.3.5.2	deletion-sla	Deletion-SLA watcher (substrate emission)	§8.1.11.3	0.00224	106	0.27	IV	ceg
4.4.3.5.3	composition-bilateral	Bilateral pair composition (PARTNERED ceremony)	§8.1.11.4	0.00178	133	0.21	IV	ceg
4.4.3.5.4	multi-subject	Multi-subject revocation (any-subject-binding)	§8.1.11.2	0.00140	167	0.17	IV	ceg
4.4.3.5.5	consent-effective	Effective consent resolution (read path)	§8.1.11.1	0.00132	176	0.16	IV	ceg
4.4.3.5.6	policy-what	What Policy K composes	§8.1.11.6	0.00092	295	0.11	IV	ceg
4.4.3.6	policy-attestation	Policy I — Attestation-Ladder Composition	§8.1.9	0.00345	73	0.41	IV	ceg
4.4.3.7	contributions-policy	Policy F — `agent_files` trust composition	§8.1.6	0.00250	99	0.3	IV	ceg
4.4.3.8	policy-direct	Policy A — direct trust	§8.1.1	0.00201	118	0.24	IV	ceg
4.4.3.9	policy-lexical	Policy D — Lexical-vulnerability-priority	§8.1.4	0.00174	138	0.21	IV	ceg
4.4.3.10	policy-trusted	Policy J — Trusted-Publisher composition	§8.1.10	0.00116	193	0.14	IV	ceg
4.4.3.11	policy-trust	Policy G — Trust-Fresh / Lighthouse	§8.1.7	0.00095	228	0.11	IV	ceg
4.4.3.12	policy-one	Policy B — one-hop transitive	§8.1.2	0.00092	299	0.11	IV	ceg
4.4.3.13	policy-weighted	Policy C — weighted graph (EigenTrust-style)	§8.1.3	0.00092	300	0.11	IV	ceg
4.4.4	sovereign-registered	Sovereign-Registered equivalence (wire-symmetric, policy-differentiated)	§8.4	0.00167	146	0.2	IV	ceg
4.5	discipline	Governance discipline	§11	0.00174	140	0.21	IV	ceg
4.5.1	amendment	Amendment process — federation Contribution + WA quorum + 1-of-6 sign-off	§11.2	0.00711	27	0.85	IV	ceg
4.5.1.1	axis	Axis-vocabulary discipline	§11.2.1	0.00585	32	0.7	IV	ceg
4.5.1.2	meta-amendment	Meta-amendment + entrenchment	§11.2.3	0.00239	103	0.29	IV	ceg
4.5.1.3	open-vocabulary	Open-vocabulary collision rule	§11.2.2	0.00095	225	0.11	IV	ceg
4.5.2	compliance	Vertical compliance + subject-bearing dimension governance (CEG 0.6 addition; per CIRISRegistry#45)	§11.6	0.00499	43	0.6	IV	ceg
4.5.2.1	subject_kind-subject-3	Subject-bearing dimension governance (normative)	§11.6.2	0.00127	177	0.15	IV	ceg
4.5.2.2	compliance-vertical	Vertical compliance mapping (informational)	§11.6.1	0.00092	247	0.11	IV	ceg
